volume_A,volume_B,volume_C
7787.917261159942,3783.0520763278964,3453.5112133940015
8248.233336267405,3857.810127707121,3614.728324388097
8361.2550976042,3879.072342538336,3681.329045465717
7805.398391946672,3625.275175043176,3440.81896548657
2781.3841161339606,1323.9600047224612,1222.2094185308029
2756.2104329655926,1393.136938851835,1068.058245040268
7463.102490695774,3435.8744248110465,3031.2556197752256
7782.026034546705,3782.9432170810624,3457.1537546964705
8248.464826824926,3859.0727535427286,3618.766439317829
8366.910256518444,3880.1415728331713,3686.61983125498
7803.102027054873,3624.196559779565,3445.6721630816533
2779.413014548749,1324.6233338631455,1227.5341005456405
2758.7193878261105,1395.7952989709172,1072.2171025382963
7464.781035558052,3436.9513418335937,3034.767896774379
7776.1343863617685,3782.7538022939407,3460.3949463149333
8248.70774360447,3860.254382992238,3622.4075288127992
8372.562992548656,3881.128099829365,3691.5185061741126
7800.792525218183,3623.0400215759255,3450.139329092741
2777.451927630548,1325.211423708751,1232.4774335204413
2761.236901257895,1398.3753759654994,1076.0009820528878
7466.445540318409,3437.9508525046094,3037.9089149683464
7770.242358005385,3782.4920726550254,3463.270029589764
8248.962083804403,3861.363130743506,3625.6863765154803
8378.213265381655,3882.0399248946987,3696.0593990129214
7798.469909506956,3621.813442245377,3454.2543449952805
2775.500881074478,1325.7320309537167,1237.0728576283534
2763.7629437565547,1400.8848144291937,1079.4428870739985
7468.095987470762,3438.880493747114,3040.7112497649673
7764.3499908887425,3782.165446665006,3465.8111537935783
8249.22784451324,3862.4063015623924,3628.6347142960576
8383.861034732545,3882.8842515367387,3700.273826565067
7796.134203097483,3620.523917618085,3458.0481195203706
2773.5599004943583,1326.1921380333265,1241.3508790425894
2766.2974857497197,1403.3304962399727,1082.572925328942
7469.7323596232,3439.747051118882,3043.2046185481045
7758.457326433625,3781.7806026555527,3468.0476474251013
8249.505022709656,3863.3904710893685,3631.2814900106027
8389.506260345042,3883.667564995497,3704.1903578966103
7793.785429271805,3619.177835947946,3461.5488494791757
2771.629011422474,1326.5980303620677,1245.339327361589
2768.8404975973117,1405.7186166475806,1085.4185628526031
7471.35463949812,3440.556633766095,3045.4161314366306
7752.564406072063,3781.3435526261164,3470.0062657000813
8249.79361526253,3864.321558576067,3633.653111766509
8395.148901991815,3884.395703896127,3707.8350554280064
7791.423611417537,3617.780948497626,3464.7822577029697
2769.7082393093374,1326.9553658668888,1249.0635904480484
2771.3919495918167,1408.0547527706578,1088.0048557658843
7472.962809932356,3441.3147418998133,3047.3705200421664
7746.67127124599,3780.8597087149656,3471.711416327694
8250.093618930961,3865.204892365815,3635.773670756417
8400.78891947481,3885.0739247537313,3711.231694863894
7789.048773027678,3616.338433082218,3467.771810106646
2767.797609523452,1327.2692375839993,1252.5468286634994
2773.9518119585564,1410.3439252607657,1090.354661718228
7474.556853877317,3442.0263275411644,3049.0903461559305
7740.7779634069,3780.33394303924,3473.1853654776355
8250.405030364296,3866.0452688419973,3637.665144540998
8406.426272625587,3885.7069600433288,3714.401965826545
7786.660937700422,3614.8549512739437,3470.5389137073785
2765.8971473510783,1327.544230011175,1255.8101703062418
2776.5200548559606,1412.5906538149645,1092.4888327784647
7476.136754399114,3442.6958492067524,3050.5961921256926
7734.884524015501,3779.7706415655202,3474.4484256759447
8250.727846102165,3866.847005495886,3639.3475824959883
8412.060921305661,3886.2990704769154,3717.365654886017
7784.260129138981,3613.334699900267,3473.1030972693916
2764.006877995998,1327.7844698385006,1258.8728899018197
2779.0966483758402,1414.799007150598,1094.4263914016838
7477.702494678694,3443.3273211387823,3051.9068345293153
7728.990994541369,3779.1737526064044,3475.519127215108
8251.062062574509,3867.613988700551,3640.8392749883487
8417.692825406819,3886.8540920654905,3720.1408125314865
7781.846371151385,3611.781457404687,3475.4821760992136
2762.1268265792814,1327.9936716183472,1261.7525708505364
2781.681562543659,1416.9726479947192,1096.1846909570145
7479.2540580119685,3443.924357624119,3053.0394026104177
7723.097416462608,3778.5468304791975,3476.414374524874
8251.407676101606,3868.3497167189744,3642.156907709154
8423.321944851472,3887.375478486302,3722.7439054927527
7779.4196876503065,3610.1986255826987,3477.6924023820184
2760.2570181390543,1328.1751788794297,1264.4652538045011
2784.2747673188105,1419.1148735854842,1097.7795621709197
7480.791427809941,3444.4902128921894,3054.0095228131136
7717.203831265497,3777.893074809316,3477.1495888233135
8251.764682894109,3869.0573384217823,3643.3157024655147
8428.948239592968,3887.8663392236367,3725.189955697257
7776.980102652859,3608.5892671542815,3479.7486023276647
2758.397477630265,1328.332001139432,1267.0255720262787
2786.876232594892,1421.22865213323,1099.2254467217572
7482.314587598836,3445.027817032771,3054.8314506354695
7711.310280444151,3777.215365912898,3477.7388382518648
8252.13307905308,3869.739688142592,3644.329545619618
8434.571669615938,3888.3294739047833,3727.49266703521
7774.5276402804175,3606.9561395882556,3481.664301283732
2756.5482299244527,1328.4668472253481,1269.4468748713555
2789.485928199977,1423.3166556442875,1100.5355191129388
7483.823521020225,3445.539808330712,3055.5181909143225
7705.416805500175,3776.5162966497282,3478.1949565925174
8252.51286057002,3870.3993170562853,3645.2111052586993
8440.192194936617,3888.767403210725,3729.6645410025167
7772.062324758417,3605.3017255524055,3483.4518378713115
2754.7092998095172,1328.5821552698753,1271.7413404364258
2792.103823896894,1425.3812894703706,1101.721797853107
7485.3182118311515,3446.028562375026,3056.081607556475
7699.523447942313,3775.7982010986007,3478.5296515689074
8252.904023326906,3871.0385214270564,3645.9719380846864
8445.80977560318,3889.1823967032633,3731.7169821973507
7769.584180416171,3603.6282603259815,3485.122468106675
2752.880711989488,1328.6801197154418,1273.9200783240717
2794.729889383502,1427.4247189101966,1102.7952468815154
7486.798643904261,3446.4962182641348,3056.5325236422227
7693.630249286111,3775.0631803721044,3478.753603645225
8253.306563096225,3871.659368038513,3646.6225869254895
8451.424371696077,3889.576497876171,3733.660394560608
7767.093231686674,3601.9377564775996,3486.686460387463
2751.062491084295,1328.7627156243839,1275.9932233910113
2797.364094292965,1429.4488931573917,1103.765868094486
7488.264801227915,3446.9447021969436,3056.8808127459392
7687.737251053566,3774.3131258561925,3478.876556156646
8253.720475541015,3872.263717086934,3647.1726696907904
8457.035943328357,3889.9515467073106,3735.504269172351
7764.589503106403,3600.2320260813394,3488.1531821449034
2749.2546616295385,1328.8317205640042,1277.9700212710043
2800.0064081940345,1431.4555668594141,1104.642785753724
7489.716667906326,3447.3757487105304,3057.135482244318
7681.844494772779,3773.549740131434,3478.9073975318397
8254.1457562149,3872.8532427907503,3647.6309605229667
8462.644450645996,3890.309199961007,3737.257264345118
7762.07301931513,3598.512700716624,3489.5311788932945
2747.4572480762645,1328.8887343084325,1279.858906394097
2802.656800591321,1433.4463195258143,1105.4343234887626
7491.1542281596685,3447.7909197992194,3057.3047493152644
7675.952021977615,3772.7745558072156,3478.8542363013853
8254.582400562125,3873.4294519440828,3648.0054638279507
8468.249853828238,3890.6509494651054,3738.927278689951
7759.543805055728,3596.781249472957,3490.8282463437895
2745.6702747907325,1328.935196575081,1281.6675731605644
2805.315240925577,1435.4225730003734,1106.14807454332
7492.577466324206,3448.1916221263828,3057.3961102687476
7670.059874207351,3771.9889524770942,3478.7244695250574
8255.030403917606,3873.9937006194205,3648.303481810722
8473.852113087914,3890.9781385647566,3740.521517771714
7757.001885173964,3595.0389951585657,3492.0514961910176
2743.893766054193,1328.972402991757,1283.4030408701494
2807.9816985739744,1437.3856071902644,1106.7909658583376
7493.986366852412,3448.579122519237,3057.4164037946603
7664.168093006333,3771.194171982731,3478.5248452153965
8255.489761506964,3874.5472092040827,3648.5316760853284
8479.45118867178,3891.291976934812,3742.046554916165
7754.447284618314,3593.2871288921033,3493.207416127681
2742.127746062659,1329.0015194709385,1285.0717129544996
2810.656142850383,1439.336574226112,1107.3693165324607
7495.380914313083,3448.954561917918,3057.3718686613993
7658.276719923631,3770.3913321551317,3478.261519284315
8255.960468446565,3875.0910759366852,3648.6961238793288
8485.047040860833,3891.593553914572,3743.5083866818964
7751.8800284397585,3591.526723238724,3494.301924593551
2740.3722389266813,1329.0235951501104,1286.679431012631
2813.338543005652,1441.2765112094778,1107.8888911532786
7496.761093391462,3449.3189679330308,3057.2681963520513
7652.385796512691,3769.5814391851018,3477.9401074932916
8256.442519743567,3875.6262890932403,3648.802369306934
8490.639629970658,3891.883850512292,3744.9124834652484
7749.300141791584,3589.758744035744,3495.3404207208664
2738.627268671124,1329.0395740412057,1288.2315241053966
2816.0288682278906,1443.20635168869,1108.354948449354
7498.126888889355,3449.673266150495,3057.1105790823517
7646.495364330989,3768.7653987596577,3477.5657328455286
8256.935910295964,3876.1537379576002,3648.855470143519
8496.228916351736,3892.1637502121484,3746.2638356652124
7746.707649929187,3587.9840610385945,3496.327829897586
2736.8928592349416,1329.0503055179313,1289.732853724922
2818.7270876427488,1445.1269359898686,1108.7722856735909
7499.478285725244,3450.018290308637,3056.903753605613
7640.605464939686,3767.944026087498,3477.14306881998
8257.440634892628,3876.674222697523,3648.860040496198
8501.814860389792,3892.434048703123,3747.5669957978907
7744.102578209869,3586.2034575047746,3497.2686453329884
2735.1690344709546,1329.0565537569037,1291.1878548184882
2821.433170313697,1447.0390205173555,1109.1452790924673
7500.815268934407,3450.354791460056,3056.6520411742713
7634.716139903278,3767.1180549243627,3476.676378812091
8257.956688213355,3877.1884632555175,3648.820289730541
8507.397422506108,3892.695462637367,3748.8261169158923
7741.484952092637,3584.4176388217275,3498.1669659763643
2733.455818145628,1329.0590062369647,1292.6005732130343
2824.147085242311,1448.9432861263545,1109.4779209227981
7502.137823669028,3450.68344621951,3056.3593839952614
7628.827430789258,3766.2881456980467,3476.1695521140605
8258.484064828914,3877.6971073527693,3648.740057981922
8512.976563157856,3892.9486375148435,3750.0449876568614
7738.854797138005,3582.627240274027,3499.0265311087737
2731.7532339388504,1329.0582813906258,1293.9746997560846
2826.868801368553,1450.8403456603348,1109.7738530277193
7503.44593519831,3451.004864189026,3056.029378486846
7622.9393791677585,3765.4548928228887,3475.626136738243
8259.022759201094,3878.2007376946103,3648.6228485511424
8518.552242838423,3893.1941547814185,3751.2270642169
7736.212139007784,3580.8328340357257,3499.8507518997676
2730.061305443709,1329.0549354922266,1295.3136014611991
2829.5982875710547,1452.7307507365251,1110.0363976562296
7504.739588908592,3451.319594642292,3055.6653056175364
7617.052026611213,3764.618831284579,3475.049369360671
8259.572765682748,3878.699878457189,3648.471857457711
8524.124422077743,3893.4325382188645,3752.375499518682
7733.557003464882,3579.0349354651726,3500.642740195374
2728.380056166275,1329.0494688589495,1296.6203499207634
2832.335512667402,1454.6149978544988,1110.2685854856913
7506.018770303454,3451.628132542235,3055.270158583121
7611.165414694006,3763.7804425680924,3474.442202637376
8260.134078517845,3879.1950011270446,3648.2900004001613
8529.693061442615,3893.6642596974125,3753.4931698203973
7730.889416373101,3577.2340087718712,3501.405334780256
2726.709509525382,1329.042331433236,1297.8977472258807
2835.0804454144168,1456.493533895382,1110.4731812039176
7507.283465003836,3451.9309239583,3054.846668055346
7605.279584992132,3762.9401599942657,3473.8073301240092
8260.706691841531,3879.686529758146,3648.079937350903
8535.258121537036,3893.88974435444,3754.582698990068
7728.2094036969265,3575.4304721180306,3502.1411253356746
2725.049688852406,1329.03392780832,1299.1483496120877
2837.8330545084455,1458.3667610724722,1110.6527068467244
7508.533658748136,3452.2283709433123,3054.3973252153123
7599.3945790828375,3762.0983735240115,3473.1472090090538
8261.29059968016,3880.1748457044932,3647.8440949931605
8540.819563002522,3894.1093752565457,3755.6464806500644
