volume_A,volume_B,volume_C
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
9213,4451,3518
9403,3812,3620
9276,3735,3568
8725,3586,3716
2847,1366,1182
3147,1363,1250
8560,3887,2896
