volume_A,volume_B,volume_C
2709.142811681451,1250.8138390208305,657.9115360482601
7540.589215658794,3530.0764837082083,3354.4886563232567
8973.860685776983,4059.6189539991733,3331.070023947379
8674.71047276706,3904.450738001504,3423.9442173064676
8178.680460008656,3603.622777099931,3464.1144405644727
8026.649118736369,3536.4833782601527,3238.220479536573
2798.25190743608,1304.8387432595905,1390.0755804350229
2710.855598153629,1260.5848753266678,1264.7050694802522
7540.597474782875,3539.350043672112,3319.2046200317327
8976.53173935638,4068.849063406761,3797.8645630563014
8674.246167522328,3912.1683819554246,3411.402767090905
8176.778450322436,3609.3143723189014,3699.278204725885
8025.7961218218115,3542.832672645711,3317.821892886048
2796.832229258365,1313.8399172652416,1462.8576130976849
2712.5686580739625,1269.7255428177154,1384.1075495140624
7540.604878368803,3547.9977881630707,3323.077658587922
8979.204485805825,4077.4586915911095,3892.5898763413625
8673.77792487626,3919.274503607137,3409.7487211416537
8174.879379975529,3614.4038712886513,3749.484655562066
8024.940135564302,3548.5865658912517,3332.956823528345
2795.415449960618,1322.2518163075865,1483.569008940478
2714.2819824263706,1278.2831571138827,1409.0875637128302
7540.611434724479,3556.0665125051337,3326.5495213924223
8981.878917830063,4085.4941183526266,3911.174595351505
8673.30574853481,3925.8148702062567,3408.5327499412388
8172.983249589154,3618.9365341831653,3758.744992041625
8024.081156295365,3553.7898158943835,3335.906580895495
2794.001576881183,1330.1186997060358,1490.4348129794057
2715.995562199644,1286.3014869696885,1415.732685562505
7540.617152163049,3563.599504416274,3328.12281560639
8984.55502811938,4092.998154710153,3914.2494457967377
