volume_A,volume_B,volume_C
2637,1282,1316
8227,3653,3217
9596,4398,3501
9655,4558,3990
8915,3900,4043
8881,3666,3345
2900,1292,1213
2637,1282,1316
8227,3653,3217
9596,4398,3501
9655,4558,3990
8915,3900,4043
8881,3666,3345
2900,1292,1213
2637,1282,1316
8227,3653,3217
9596,4398,3501
9655,4558,3990
8915,3900,4043
8881,3666,3345
2900,1292,1213
2637,1282,1316
8227,3653,3217
9596,4398,3501
2900,1292,1213
8915,3900,4043
8881,3666,3345
2900,1292,1213
2637,1282,1316
8227,3653,3217
9596,4398,3501
